["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["mining","The act or business of making mines or of working them.\n\nOf or pertaining to mines; as, mining engineer; mining machinery; a mining region. Mining engineering. See the Note under Engineering."]
["mitigate","1. To make less severe, intense, harsh, rigorous, painful, etc.; to soften; to meliorate; to alleviate; to diminish; to lessen; as, to mitigate heat or cold; to mitigate grief. 2. To make mild and accessible; to mollify; -- applied to persons. [Obs.] This opinion ... mitigated kings into companions. Burke. Syn. -- To alleviate; assuage; allay. See Alleviate."]
["armoric","Of or pertaining to the northwestern part of France (formerly called Armorica, now Bretagne or Brittany), or to its people. -- n.  The language of the Armoricans, a Celtic dialect which has remained to the present times."]
["multiflorous","Having many flowers."]
["squinsy","See Quinsy. [Obs.]"]
["erectility","The quality or state of being erectile."]
["enarched","Bent into a curve; -- said of a bend or other ordinary."]
["semaphorical","Of or pertaining to a semaphore, or semaphores; telegraphic."]
["felonry","A body of felons; specifically, the convict population of a penal colony. Howitt."]
["constructionist","One who puts a certain construction upon some writing or instrument, as the Constitutions of the United States; as, a strict constructionist; a broad constructionist."]
["extolment","Praise. [Obs.] Shak."]
["criminality","The quality or state of being criminal; that which constitutes a crime; guiltiness; guilt. This is by no means the only criterion of criminality. Blackstone."]
["scaphocephalic","Of, pertaining to, or affected with, scaphocephaly."]
["telpher","A contrivance for the conveyance of vehicles or loads by means of electricity. Fleeming Jenkin. Telpher line, or Telpher road, an electric line or road over which vehicles for carrying loads are moved by electric engines actuated by a current conveyed by the line."]
["photosculpture","A process in which, by means of a number of photographs simultaneously taken from different points of view on the same level, rough models of the figure or bust of a person or animal may be made with great expedition."]
["stentoronic","Stentorian. [Obs.]"]
["sacramentarian","1. (Eccl.)  A name given in the sixteenth century to those German reformers who rejected both the Roman and the Lutheran doctrine of the holy eucharist. 2. One who holds extreme opinions regarding the efficacy of sacraments.\n\n1. Of or pertaining a sacrament, or to the sacramentals; sacramental. 2. Of or pertaining to the Sacramentarians."]
["carp","1. To talk; to speak; to prattle. [Obs.] Chaucer. 2. To find fault; to cavil; to censure words or actions without reason or ill-naturedly; -- usually followed by at. Carping and caviling at faults of manner. Blackw. Mag. And at my actions carp or catch. Herbert.\n\n1. To say; to tell. [Obs.] 2. To find fault with; to censure. [Obs.] Dryden.\n\nA fresh-water herbivorous fish (Cyprinus carpio.). Several other species of Cyprinus, Catla, and Carassius are called carp. See Cruclan carp. Note: The carp was originally from Asia, whence it was early introduced into Europe, where it is extensively reared in artificial ponds. Within a few years it has been introduced into America, and widely distributed by the government. Domestication has produced several varieties, as the leather carp, which is nearly or quite destitute of scales, and the mirror carp, which has only a few large scales. Intermediate varieties occur. Carp louse (Zoöl.), a small crustacean, of the genus Argulus, parasitic on carp and allied fishes. See Branchiura. -- Carp mullet (Zoöl.), a fish (Moxostoma carpio) of the Ohio River and Great Lakes, allied to the suckers. -- Carp sucker (Zoöl.), a name given to several species of fresh- water fishes of the genus Carpiodes in the United States; -- called also quillback."]
["assumpt","To take up; to elevate; to assume. [Obs.] Sheldon.\n\nThat which is assumed; an assumption. [Obs.] The sun of all your assumpts is this. Chillingworth."]
["iroquois","A powerful and warlike confederacy of Indian tribes, formerly inhabiting Central New York and constituting most of the Five Nations. Also, any Indian of the Iroquois tribes."]
["sithe","Time. [Obs.] Chaucer. And humbly thanked him a thousand sithes. Spenser.\n\nTo sigh. Note: [A spelling of a corrupt and provincial pronunciation.]\n\nA scythe. [Obs.] Milton.\n\nTo cut with a scythe; to scythe. [Obs.]"]
["ihlang-ihlang","A rich, powerful, perfume, obtained from the volatile oil of the flowers of Canada odorata, an East Indian tree. [Also written ylang-ylang.]"]
["antiepileptic","Same as Antepileptic."]
["pulled","Plucked; pilled; moulting. \" A pulled hen.\" Chaucer."]
["epistoma","(a) The region between the antennæ and the mouth, in Crustacea. (b) A liplike organ that covers the mouth, in most Bryozoa. See Illust., under Entoprocta."]
["kop","Hill; mountain. [South Africa]"]
["odmyl","A volatile liquid obtained by boiling sulphur with linseed oil. It has an unpleasant garlic odor."]
["shelter","1. That which covers or defends from injury or annoyance; a protection; a screen. The sick and weak the healing plant shall aid, From storms a shelter, and from heat a shade. Pope. 2. One who protects; a guardian; a defender. Thou [God] hast been a shelter for me. Ps. lxi. 3. 3. The state of being covered and protected; protection; security. Who into shelter takes their tender bloom. Young. Shelter tent,a small tent made of pieces of cotton duck arranged to button together. In field service the soldiers carry the pieces. Syn. -- Asylum; refuge; retreat; covert; sanctuary; protection; defense; security.\n\n1. To be a shelter for; to provide with a shelter; to cover from injury or annoyance; to shield; to protect. Those ruins sheltered once his sacred head. Dryden. You have no convents . . . in which such persons may be received and sheltered. Southey. 2. To screen or cover from notice; to disguise. In vain I strove to cheek my growing flame, Or shelter passion under friendship's name. Prior. 3. To betake to cover, or to a safe place; -- used reflexively. They sheltered themselves under a rock. Abp. Abbot.\n\nTo take shelter. There oft the Indian herdsman, shunning heat, Shelters in cool. Milton."]
["traffic","1. To pass goods and commodities from one person to another for an equivalent in goods or money; to buy or sell goods; to barter; to trade. 2. To trade meanly or mercenarily; to bargain.\n\nTo exchange in traffic; to effect by a bargain or for a consideration.\n\n1. Commerce, either by barter or by buying and selling; interchange of goods and commodities; trade. A merchant of great traffic through the world. Shak. The traffic in honors, places, and pardons. Macaulay. Note: This word, like trade, comprehends every species of dealing in the exchange or passing of goods or merchandise from hand to hand for an equivalent, unless the business of relating may be excepted. It signifies appropriately foreign trade, but is not limited to that. 2. Commodities of the market. [R.] You 'll see a draggled damsel From Billingsgate her fishy traffic bear. Gay. 3. The business done upon a railway, steamboat line, etc., with reference to the number of passengers or the amount of freight carried. Traffic return, a periodical statement of the receipts for goods and passengers, as on a railway line. -- Traffic taker, a computer of the returns of traffic on a railway, steamboat line, etc."]
["untwist","1. To separate and open, as twisted threads; to turn back, as that which is twisted; to untwine. If one of the twines of the twist do untwist, The twine that untwisteth, untwisteth the twist. Wallis. 2. To untie; to open; to disentangle. Milton."]
["shinhopple","The hobblebush."]
["bullet","1. A small ball. 2. A missile, usually of lead, and round or elongated in form, to be discharged from a rifle, musket, pistol, or other small firearm. 3. A cannon ball. [Obs.] A ship before Greenwich . . . shot off her ordnance, one piece being charged with a bullet of stone. Stow. 4. The fetlock of a horse. Note: [See Illust. under Horse.]"]
["indigent","1. Wanting; void; free; destitute; -- used with of. [Obs.] Bacon. 2. Destitute of property or means of comfortable subsistence; needy; poor; in want; necessitous. Indigent faint souls past corporal toil. Shak. Charity consists in relieving the indigent. Addison."]
["chaplainship","1. The office or business of a chaplain. The Bethesda of some knight's chaplainship. Milton. 2. The possession or revenue of a chapel. Johnson."]
["sorosis","A woman's club; an association of women. [U. S.]\n\nA fleshy fruit formed by the consolidation of many flowers with their receptacles, ovaries, etc., as the breadfruit, mulberry, and pineapple."]
["plumbism","A diseased condition, produced by the absorption of lead, common among workers in this metal or in its compounds, as among painters, typesetters, etc. It is characterized by various symptoms, as lead colic, lead line, and wrist drop. See under Colic, Lead, and Wrist."]
["underbind","To bind beneath. Fairfax."]
["polycystid","(a) One of the Polycystidea. (b) One of the Polycystina. -- a.  Pertaining to the Polycystidea, or the Polycystina."]
["spicose","Having spikes, or ears, like corn spikes."]
["counterpoint","An opposite point [Obs.] Sir E. Sandys.\n\n(a) The setting of note against note in harmony; the adding of one or more parts to a given canto fermo or melody. (b) The art of polyphony, or composite melody, i. e., melody not single, but moving attended by one or more related melodies. (c) Music in parts; part writing; harmony; polyphonic music. See Polyphony. Counterpoint, an invention equivalent to a new creation of music. Whewell.\n\nA coverlet; a cover for a bed, often stitched or broken into squares; a counterpane. See 1st Counterpane. Embroidered coverlets or counterpoints of purple silk. Sir T. North."]
